"HOSPITAL METROPOLITANO DE ALAGOAS",7854,48,2021/03/28,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7855,48,2021/03/28,420.59,,,,,42,,10,,,,,,,,,,,,,,,,,,
"Samu Maceió",7857,48,2021/03/28,64.97,,,,,,,,4,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",7858,48,2021/03/28,97.46,3,,,,,,,3,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",7860,48,2021/03/28,178.66,,,,,,,,11,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",337,30,2021/03/29,146.18,,,,,,,,9,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",338,30,2021/03/29,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1680,40,2021/03/29,129.61,,,,,,,10,3,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1681,40,2021/03/29,32.48,,,,,,,,2,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1685,40,2021/03/29,372.27,,,,,,,40,3,,,,,,,,,,,,,,,,,
"Samu Maceió",1686,40,2021/03/29,243.62,,,,,,15,,,,,,,,,,,,,,,,,,,
"Unidade Denilma Bulhoes",7869,48,2021/03/29,80.88,,,,,,,10,,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7871,48,2021/03/29,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",7876,48,2021/03/29,97.45,,,,,,,,6,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",97685,200,2021/03/29,7998.63,,4519,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",97693,200,2021/03/29,21362.13,,12069,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",339,30,2021/03/30,129.93,,,,,,,,8,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",341,30,2021/03/30,97.45,,,,,,,,6,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",343,30,2021/03/30,32.48,2,,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",908,32,2021/03/30,170.31,7,,,,7,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF PORTO CALVO",909,32,2021/03/30,81.21,5,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1694,40,2021/03/30,1218.43,,,13.2,,21,,60,3,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1697,40,2021/03/30,89.1,1,,,,7,,,1,,,,,,,,,,,,,,,,,
"Samu Maceió",7881,48,2021/03/30,129.93,,,,,,3,,5,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7885,48,2021/03/30,16.24,1,,,,,,,,,,,,,,,,,,,,,,,,
"HOSP E CENTRO REF UNIAO DOS PALMARES",199,54,2021/03/31,2752.35,,1555,,,,,,,,,,,,,,,,,,,,,,,
"Samu Maceió",344,30,2021/03/31,16.24,,,,,,,,1,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",347,30,2021/03/31,178.66,,,,,,,,11,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",348,30,2021/03/31,32.48,1,,,,,,,1,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",350,30,2021/03/31,48.73,3,,,,,,,,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA ARMANDO LAGES",1702,40,2021/03/31,484.33,,,6.6,,,,10,9,,,,,,,,,,,,,,,,,
"HOSPITAL DA MULHER",1704,40,2021/03/31,162.42,4,,,,,1,,5,,,,,,,,,,,,,,,,,
HEMOAL,1706,40,2021/03/31,202.34,1,,,,21,,,1,,,,,,,,,,,,,,,,,
"Samu Maceió",7891,48,2021/03/31,227.38,,,,,,12,,2,,,,,,,,,,,,,,,,,
"HOSPITAL METROPOLITANO DE ALAGOAS",7898,48,2021/03/31,16.24,1,,,,,,,,,,,,,,,,,,,,,,,,
"SAMU Arapiraca",97723,200,2021/03/31,802.34,,,,,,,,4,,,,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",97728,200,2021/03/31,433.99,,,,,,,,7,39.6,,,,,,,,,,,,,,,,
,"ITENS DO CONTRATO NÚMERO 108/2017",,,,,,,,
,,,,,,,,,
ITEM,ESPECIFICAÇÃO,UNID.,QUANT.,,,,,,
1.1,"Oxigênio Medicinal Criogênico no Estado Líquido refrigerado, acondicionado em tanque criogênico",M³,2400000,,,,,,
2.1,"Oxigênio Medicinal Comprimido Gasoso, acondicionado em cilindro de alúminio portátil com regulador de pressão e fluxômetro integrado, capacidade até 1,0 m³",M³,9600,,,,,,
2.2,"Locação de cilindro de alumínio para oxigênio, com regulador e fluxômetro integrado ao cilindro com cap. 1,0 m³.",M³,6000,,,,,,
2.3,"Oxigênio medicinal comprimido gasoso em cilindro aço carbono com capacidade 3,0 a 10,0 m³, com comodato dos cilindros.",M³,120000,,,,,,
2.4,"Oxigênio medicinal comprimido gasoso em cilindro aço carbono com capacidade 0,4 a 2,9 m³, com comodato dos cilindros.",M³,2400,,,,,,
2.5,"Ar comprimido medicinal em cilindro aço carbono com capacidade 3,0 a 10 m³, com comodato dos cilindros.",M³,24000,,,,,,
2.6,"Ar comprimido medicinal em cilindro aço carbono/alumínio com capacidade 0,4 a 2,9 m³, com comodato dos cilindros.",M³,1200,,,,,,
2.7,"Óxido Nitroso Medicinal no Estado Liquefeito em cilindro aço carbono com capacidade 4,0 a 33,0 kg, com comodato dos cilindros.",M³,12000,,,,,,
2.8,"Gás carbônico medicinal liquefeito alta pureza comprimido em cilindros, capacidade 1,5 a 25 kg, com comodato dos cilindros.",M³,2400,,,,,,
2.9,"Nitrogênio Medicinal comprimido gasoso alta pureza em cilindro com capacidade 1,5 a 25 kg com comodato dos cilindros.",M³,3000,,,,,,
2.10,"Gás Acetileno em cilindro, capacidade 1,5 a 11 kg com comodato dos cilindros.",Kg,180,,,,,,
2.11,"Gás Acetileno em cilindro, capacidade 0,4 a 1,4 kg com comodato de cilindros.",Kg,36,,,,,,
,,,,,,,,,
,,,,,,,,,
,"SOMA 02 GASOSO - REAL TRIMESTRE 1 - m³",12625.5,,,,"PRODUTO ","2021 1ºTRI","CONTRATO 1º TRI","2021 X CONTRATO"
,"SOMA 02 LÍQUIDO - REAL TRIMESTRE 1 - m³",449944,,,,"OXIGÊNIO GASOSO",12625.5,33000,0.6174090909090909
,,,,,,"OXIGÊNIO LÍQUIDO",449944,600000,0.2500933333333333
,"SOMA 02 GASOSO - CONTRATO 108/2017 TRIMESTRE 1 - m³",600000,,,,"TOTAL GERAL",462569.5,633000,0.26924249605055295
,"SOMA 02 LÍQUIDO - CONTRATO 108/2017 TRIMESTRE 1 - m³",33000,,,,,,,
sigla_uf,data_estoque,codigo_cnes,nome_cnes,qt_leito_covid_total,qt_leito_covid_intubacao,"qt_atracurio_besilato_10mg_ml_amp_2_5_ml""",qt_atracurio_besilato_10mg_ml_amp_5_ml,qt_atropina_sulfato_0_25_mg_ml_amp_1_ml,qt_cetamina_cloridrato_50mg_ml_amp_10ml,qt_cisatracurio_besilato_2mg_ml_amp_5_ml,qt_cisatracurio_besilato_2mg_ml_amp_10_ml,qt_dexmedetomidina_cloridato_100mcg_ml_amp_2_ml,qt_dextrocetamina_cloridrato_50mg_ml_10_ml,qt_diazepam_5mg_ml_amp_2_m,qt_epinefrina_1mg_ml_amp_1_ml,qt_etomidato_2_mg_ml_framp_10ml,qt_fentanila_citrato_0_05_mg_ml_framp_10_ml,qt_haloperidol_5_mg_ml_amp_1_ml,qt_lidocaina_20_mg_ml_2_sem_vasoconstrictor_framp_20ml,qt_midazolam_5_mg_ml_framp_10_ml,qt_morfina_sulfato_10_mg_ml_amp_1_ml,qt_naloxona_cloridrato_0_4_mg_ml_amp_1_ml,qt_norepinefrina_hemitartarato_1mg_ml,qt_propofol_10_mg_ml_framp_20_ml,qt_propofol_10_mg_ml_fr_100_ml,qt_rocuronio_brometo_10_mg_ml_amp_5_ml,qt_suxametonio_cloreto_100_mg_10_ml,vl_cmm_atracurio_besilato_10mg_ml_amp_2_5_ml,vl_cmm_atracurio_besilato_10mg_ml_amp_5_ml,vl_cmm_atropina_sulfato_0_25_mg_ml_amp_1_ml,vl_cmm_cetamina_cloridrato_50mg_ml_amp_10ml,vl_cmm_cisatracurio_besilato_2mg_ml_amp_5_ml,vl_cmm_cisatracurio_besilato_2mg_ml_amp_10_ml,vl_cmm_dexmedetomidina_cloridato_100mcg_ml_amp_2_ml,vl_cmm_dextrocetamina_cloridrato_50mg_ml_10_ml,vl_cmm_diazepam_5mg_ml_amp_2_m,vl_cmm_epinefrina_1mg_ml_amp_1_ml,vl_cmm_etomidato_2_mg_ml_framp_10ml,vl_cmm_fentanila_citrato_0_05_mg_ml_framp_10_ml,vl_cmm_haloperidol_5_mg_ml_amp_1_ml,vl_cmm_lidocaina_20_mg_ml_2_sem_vasoconstrictor_framp_20ml,vl_cmm_midazolam_5_mg_ml_framp_10_ml,vl_cmm_morfina_sulfato_10_mg_ml_amp_1_ml,vl_cmm_naloxona_cloridrato_0_4_mg_ml_amp_1_ml,vl_cmm_norepinefrina_hemitartarato_1mg_ml,vl_cmm_propofol_10_mg_ml_framp_20_ml,vl_cmm_propofol_10_mg_ml_fr_100_ml,vl_cmm_rocuronio_brometo_10_mg_ml_amp_5_ml,vl_cmm_suxametonio_cloreto_100_mg_10_ml
AL,2021/04/26,136581,"HOSPITAL METROPOLITANO DE ALAGOAS",190,41,336,0,0,0,139,0,146,0,3186,1813,277,1605,1558,1537,0,334,39,788,2543,0,263,1282,1000,500,600,0,2000,1000,1000,900,1000,1500,300,20000,1000,3000,6500,800,300,7900,20000,5000,2000,550
AL,2021/04/28,9923837,"HOSPITAL DA MULHER DRA NISE DA SILVEIRA",134,28,0,1625,0,0,0,0,120,2,635,1345,260,2943,200,400,2100,690,70,2200,2000,0,3003,564,12000,6000,600,0,0,0,1800,0,90,510,120,15000,60,150,10800,0,60,9000,12000,2400,9000,300
AL,2021/04/26,2006510,"HOSPITAL GERAL DO ESTADO PROGESSOR OSVALDO BRANDÃO VILELA",24,11,0,142,0,0,466,24,0,0,2275,873,120,3465,2000,420,0,0,0,3288,900,0,170,400,150,200,2400,0,600,400,500,600,3600,2500,200,14000,1200,1500,5000,600,200,9000,4000,800,1200,400
AL,2021/04/26,7042671,"HOSPITAL REGIONAL DO NORTE",10,5,478,1220,0,0,0,0,3,0,100,104,224,251,140,391,483,118,225,6,425,0,687,424,2100,330,0,0,0,0,570,60,660,180,30,660,0,60,6660,270,0,900,3540,0,510,60
AL,2021/04/26,3015408,"HOSPITAL DE EMERGENCIA DR. DANIEL HOULY",24,20,175,150,94,0,425,0,389,0,293,138,7,560,181,193,741,120,25,836,1878,0,1639,130,700,500,660,0,1200,1200,1050,500,1200,900,60,9000,1200,700,2500,600,100,4000,5000,0,1500,400
AL,2021/04/26,7753470,"HOSPITAL REGIONAL DA MATA",18,3,710,475,49,0,0,0,323,26,599,73,1337,391,295,93,646,469,17,132,250,379,251,658,150,100,200,300,150,200,400,300,200,300,200,2000,100,500,3000,200,70,1500,1200,180,250,150
AL,2021/04/28,113913,"HOSPITAL DE CAMPANHA",150,0,50,50,30,0,60,50,36,0,161,214,68,131,18,81,276,91,25,535,20,0,52,46,0,0,225,0,0,0,30,0,33,210,40,140,250,41,356,28,25,535,245,0,30,52
AL,2021/05/05,S/N,"SECRETARIA DE ESTADO DA SAÚDE DE ALAGOAS",550,108,0,200,0,0,3555,0,12075,0,33223,100,2048,84789,4168,8036,6680,9250,50,44749,13306,0,14119,5072,15000,7430,4260,750,9750,7800,5050,5060,6120,5720,1050,56510,3550,6060,31080,2770,730,29330,49400,9280,14220,1660
"REPASSES DE ORDEM FEDERAL - COVID - 19 ",,,,,
,,,,,
,,,,,"Atl: 30.04.2021"
"Descrição ","Valor ","Data ","Ação Orçamentaria ",Status,"Objeto executado "
"PORTARIA Nº 395, DE 16 DE MARÇO DE 2020",6839378,2020/03/16," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus.",PAGO,"Estabelece recurso do Bloco de Custeio das Ações e Serviços Públicos de Saúde - Grupo de Atenção de Média e Alta Complexidade-MAC, a ser disponibilizado aos Estados e Distrito Federal, destinados às ações de saúde para o enfrentamento do Coronavírus - COVID 19."
"PORTARIA Nº 774, DE 9 DE ABRIL DE 2020",3903090.53,2020/04/09," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus.",PAGO,"Os recursos financeiros serão destinados ao custeio das ações e serviços de saúde requeridos para o enfrentamento da emergência de saúde pública decorrente da COVID 19, abrangendo atenção primária, especializada, vigilância em saúde, assistência farmacêutica e outras que se fizerem necessárias."
"PORTARIA Nº 774, DE 9 DE ABRIL DE 2020",12879770.2,2020/04/13," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus.",PAGO,"Os recursos financeiros serão destinados ao custeio das ações e serviços de saúde requeridos para o enfrentamento da emergência de saúde pública decorrente da COVID 19, abrangendo atenção primária, especializada, vigilância em saúde, assistência farmacêutica e outras que se fizerem necessárias."
"PORTARIA Nº 1.013, DE 24 DE ABRIL DE 2020",8064000,2020/04/30," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus.",PAGO,"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Custeio das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado e Municípios de Alagoas."
"PORTARIA Nº 997, DE 24 DE ABRIL DE 2020",3500000,2020/05/12,"Programa de Trabalho 10.122.5018.21C0 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, localizadores diversos.",PAGO," Os recursos financeiros serão destinados exclusivamente ao custeio das ações e serviços de saúde necessários para o enfrentamento da emergência de saúde pública decorrente do Coronavírus (COVID 19), abrangendo atenção primária, especializada, vigilância em saúde, assistência farmacêutica e outras que forem oportunas. Emenda 71030001 "
"PORTARIA Nº 1.469, DE 3 DE JUNHO DE 2020",720000,2020/06/08,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV20 - Medida Provisória nº 940, de 2 de abril de 2020.",PAGO,"Habilita leitos da Unidade de Terapia Intensiva - UTI Adulto Tipo II -COVID-19 do Hospital da Mulher Dra. Nise da Silveira e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de Alagoas."
"PORTARIA Nº 1.666, DE 1º DE JULHO DE 2020",51000000,2020/07/14,"I - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 924, de 13 de março de 2020;

II - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 940, de 02 de abril de 2020;

III - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 947, de 08 de abril de 2020

IV - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 969, de 20 de maio de 2020;

V - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 976, de 04 de junho de 2020.",PAGO,"Os recursos financeiros serão destinados ao custeio das ações e serviços de saúde para o enfrentamento da emergência de saúde pública decorrente da COVID 19, podendo abranger a atenção primária e especializada, a vigilância em saúde, a assistência farmacêutica, a aquisição de suprimentos, insumos e produtos hospitalares, o custeio do procedimento de Tratamento de Infecção pelo novo coronavírus - COVID 19, previsto na Portaria nº 245/SAES/MS, de 24 de março de 2020, bem como a definição de protocolos assistenciais específicos para o enfrentamento à pandemia do coronavírus."
"PORTARIA Nº 1.666, DE 1º DE JULHO DE 2020",5000,2020/08/20,"I - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 924, de 13 de março de 2020;

II - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 940, de 02 de abril de 2020;

III - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 947, de 08 de abril de 2020

IV - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 969, de 20 de maio de 2020;

V - 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus, Medida Provisória nº 976, de 04 de junho de 2020.",PAGO,"Os recursos financeiros serão destinados ao custeio das ações e serviços de saúde para o enfrentamento da emergência de saúde pública decorrente da COVID 19, podendo abranger a atenção primária e especializada, a vigilância em saúde, a assistência farmacêutica, a aquisição de suprimentos, insumos e produtos hospitalares, o custeio do procedimento de Tratamento de Infecção pelo novo coronavírus - COVID 19, previsto na Portaria nº 245/SAES/MS, de 24 de março de 2020, bem como a definição de protocolos assistenciais específicos para o enfrentamento à pandemia do coronavírus."
"PORTARIA Nº 1.803, DE 21 DE JULHO DE 2020",4320000,2020/08/28," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV20 - Medida Provisória nº 940, de 2 de abril de 2020.",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de Alagoas e Município de Maceió (AL)."
"PORTARIA 1.964, DE 4 DE AGOSTO DE 2020",2688000,2020/08/12,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - - Plano Orçamentário CV50 - Medida Provisória nº 976, de 4 de junho de 2020.",PAGO,"Prorroga a habilitação leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado ao Estado de Alagoas e Município de Maceió"
"PORTARIA Nº 2.035, DE 7 DE AGOSTO DE 2020",1440000,2020/08/14,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV50 - Medida Provisória nº 976, de 4 de junho de 2020",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado aos Estados e Municípios"
"PORTARIA Nº 1.957, DE 3 DE AGOSTO DE 2020",2400242,2020/09/30,"FUNCIONAL PROGRAMÁTICA 10122501821C0650, PROGRAMA ORÇAMENTÁRIO CV30",PAGO,"Habilita o Estado, Município ou Distrito Federal a receber recursos destinados à aquisição de equipamentos e materiais permanentes para estabelecimentos de saúde."
"PORTARIA Nº 2.405, DE 16 DE SETEMBRO DE 2020",75000,2020/09/24,"Funcional Programática 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional decorrente do Coronavírus - Nacional, no PO - CV50 - COVID-19 - Medida Provisória nº 976, de 4 de junho de 2020",PAGO," fortalecimento das equipes e serviços da Atenção Primária à Saúde no cuidado às populações específicas, no contexto da Emergência em Saúde Pública de Importância Nacional (ESPIN) decorrente da Covid-19, declarada pela Portaria nº 188/GM/MS, de 3 fevereiro de 2020."
"PORTARIA Nº 2.694, DE 2 DE OUTUBRO DE 2020",1872000,2020/10/08," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV40 - Medida Provisória nº 969, de 20 de maio de 2020.",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado aos Estados e Municípios."
"PORTARIA Nº 2.625, DE 28 DE SETEMBRO DE 2020",1500000,2020/10/02," Funcional Programática 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional decorrente do Coronavírus - Nacional, plano orçamentário CV50 - COVID-19 - Medida Provisória nº 976, de 4 de junho de 2020",PAGO,"nstitui incentivo financeiro federal de custeio, em caráter excepcional temporário, aos estados, municípios e Distrito Federal para o fortalecimento dos Serviços de Verificação de Óbito (SVO), no contexto da Emergência em Saúde Pública de Importância Nacional (ESPIN) decorrente da Covid-19."
"PORTARIA Nº 2.624/GM/MS, DE 28 DE SETEMBRO DE 2020",2800000,2020/10/02,"Funcional Programática 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional decorrente do Coronavírus - Nacional, plano orçamentário CV50 - COVID19 - Medida Provisória nº 976, de 4 de junho de 2020",PAGO," Instituir incentivo financeiro federal de custeio, em caráter excepcional e temporário, para a execução de ações de vigilância, de alerta e de resposta à emergência da Covid-19, no contexto da emergência de saúde pública de importância nacional e internacional decorrente da pandemia, declarada pela Portaria GM/MS nº 188, de 3 de fevereiro de 2020."
"PORTARIA Nº 2.782, DE 14 DE OUTUBRO DE 2020",500000,2020/10/21,"Funcional Programática 10.122.5018.21C0.6500 - PO CV50 - MP 976 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional, referente a incentivo de custeio, em caráter excepcional e temporário, para a execução de ações de vigilância, alerta e resposta à emergência de Covid-19.",PAGO,"ncentivos financeiros federais de custeio para execução das ações de imunização e vigilância em saúde, para enfrentamento à Emergência de Saúde Pública de Importância Nacional (ESPIN) decorrente da pandemia de Covid-19, declarada pela Portaria nº 188/GM/MS, de 3 de fevereiro de 2020."
"PORTARIA Nº 3.248, DE 2 DE DEZEMBRO DE 2020",1208450,2020/12/16," Programa de Trabalho - 10.122.5018.21CO.6500 - PO CV70 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus.",PAGO,"Institui, em caráter excepcional e temporário, incentivo financeiro destinado aos Estados e Distrito Federal, para estruturação de unidades de Rede de Frio do Programa Nacional de Imunizações e para Vigilância Epidemiológica, para o enfrentamento à Emergência de Saúde Pública de Importância Nacional (ESPIN) decorrente da pandemia de Covid19."
"PORTARIA GM/MS Nº 3.717, DE 22 DE DEZEMBRO DE 2020",5000000,2020/12/28,"Funcional Programática 10.122.5018.21CO.6500 - PO CV70 -MP 967",PAGO,"Incentivo financeiro de que trata esta Portaria tem como objetivo a aquisição de equipamentos e materiais permanentes destinados aos SVO habilitados na Rede Nacional de Verificação de óbito (RNVO), para subsidiar:"
"PORTARIA Nº 3.682, DE 21 DE DEZEMBRO DE 2020",751703,2020/12/31,CV40,PAGO,"Habilita o Estado, Município ou Distrito Federal a receber recursos destinados à aquisição de equipamentos e materiais permanentes para estabelecimentos de saúde."
"PORTARIA GM/MS Nº 3.391, DE 10 DE DEZEMBRO DE 2020",51239,2020/12/21," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional decorrente do Coronavírus - Nacional, Plano Orçamentário - CV70 - COVID-19 - Medida Provisória nº 967, de 19 de maio de 2020.",PAGO,"Habilita estado, município e o Distrito Federal a receber incentivo financeiro federal de capital para estruturação e adequação dos ambientes de assistência odontológica na Atenção Primária à Saúde e na Atenção Especializada, no enfrentamento à Emergência de Saúde Pública de Importância Nacional decorrente da pandemia do Coronavírus (Covid19)."
"PORTARIA GM/MS Nº 3.576, DE 18 DE DEZEMBRO DE 2020",1440000,2020/12/24,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV70 - Medida Provisória nº 967, de 19 de maio de 2020.",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado a Estados e Municípios"
"PORTARIA GM/MS Nº 3.570, DE 18 DE DEZEMBRO DE 2020",1440000,2020/12/24,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV70 - Medida Provisória nº 967, de 19 de maio de 2020",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Pediátrico Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado a Estados e Município."
"PORTARIA Nº 3.566, DE 18 DE DEZEMBRO DE 2020",7488000,2020/12/29," Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus - Plano Orçamentário CV70 - Medida Provisória nº 967, de 19 de maio de 2020",PAGO,"Habilita leitos de Unidades de Terapia Intensiva - UTI Adulto Tipo II - COVID-19 e estabelece recurso financeiro do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo Coronavírus (COVID 19), a ser disponibilizado a Estados e Municípios"
"PORTARIA Nº 3.008, DE 4 DE NOVEMBRO DE 2020",13517,2020/12/23,"Programa de Trabalho 10.122.5018.21C0.6500 - Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do coronavírus - Nacional, Plano Orçamentário CV70 - COVID-19",PAGO,"nstitui, em caráter excepcional e temporário, incentivos financeiros federais de custeio para apoiar a reorganização e adequação dos ambientes voltados à assistência odontológica na Atenção Primária à Saúde e na Atenção Especializada, para viabilização do acesso e resolução das demandas de saúde bucal em condições adequadas para a mitigação dos riscos individuais e coletivos relacionados à Emergência de Saúde Pública de Importância Nacional (ESPIN) decorrente da pandemia do coronavírus (Covid-19), declarada pela Portaria nº 188/GM/MS, de 3 de fevereiro de 2020."
